fy,group,product,sheet,yakko_class,max_hidden_qty,reason
2018,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2018,IFN_peg,peginterferon,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2018,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2019,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2019,IFN_peg,peginterferon,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2019,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2020,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2020,IFN_peg,peginterferon,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2020,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2021,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2021,IFN_peg,peginterferon,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2021,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2022,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2022,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2023,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2023,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2014,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,305675.0,not among top 30 listed products
2015,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,28812.0,not among top 100 listed products
2015,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,56001.615,not among top 100 listed products
2016,PI_ifn,simeprevir,内服薬 入院,抗ウイルス剤,1058.5,not among top 100 listed products
2016,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,31084.0,not among top 100 listed products
2016,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,62798.42500000001,not among top 100 listed products
